,AAPL_Close,VIX,GDP,FedRate,CPI,Unemployment
2020-01-02,72.716064453125,12.470000267028809,21727.657,1.55,259.127,3.6
2020-01-03,72.00914001464844,14.020000457763672,21727.657,1.55,259.127,3.6
2020-01-06,72.58289337158203,13.850000381469727,21727.657,1.55,259.127,3.6
2020-01-07,72.2415542602539,13.789999961853027,21727.657,1.55,259.127,3.6
2020-01-08,73.40365600585938,13.449999809265137,21727.657,1.55,259.127,3.6
2020-01-09,74.9627914428711,12.539999961853027,21727.657,1.55,259.127,3.6
2020-01-10,75.13224792480469,12.5600004196167,21727.657,1.55,259.127,3.6
2020-01-13,76.73741912841797,12.319999694824219,21727.657,1.55,259.127,3.6
2020-01-14,75.70121002197266,12.390000343322754,21727.657,1.55,259.127,3.6
2020-01-15,75.3768081665039,12.420000076293945,21727.657,1.55,259.127,3.6
2020-01-16,76.32099151611328,12.319999694824219,21727.657,1.55,259.127,3.6
2020-01-17,77.16595458984375,12.100000381469727,21727.657,1.55,259.127,3.6
2020-01-21,76.64300537109375,12.850000381469727,21727.657,1.55,259.127,3.6
2020-01-22,76.91657257080078,12.90999984741211,21727.657,1.55,259.127,3.6
2020-01-23,77.28699493408203,12.979999542236328,21727.657,1.55,259.127,3.6
2020-01-24,77.06426239013672,14.5600004196167,21727.657,1.55,259.127,3.6
2020-01-27,74.79817199707031,18.229999542236328,21727.657,1.55,259.127,3.6
2020-01-28,76.9141616821289,16.280000686645508,21727.657,1.55,259.127,3.6
2020-01-29,78.524169921875,16.389999389648438,21727.657,1.55,259.127,3.6
2020-01-30,78.4103775024414,15.489999771118164,21727.657,1.55,259.127,3.6
2020-01-31,74.93373107910156,18.84000015258789,21727.657,1.55,259.127,3.6
2020-02-01,74.93373107910156,18.84000015258789,21727.657,1.58,259.25,3.5
2020-02-03,74.72795867919922,17.969999313354492,21727.657,1.58,259.25,3.5
2020-02-04,77.19499969482422,16.049999237060547,21727.657,1.58,259.25,3.5
2020-02-05,77.82447814941406,15.149999618530273,21727.657,1.58,259.25,3.5
2020-02-06,78.73477935791016,14.960000038146973,21727.657,1.58,259.25,3.5
2020-02-07,77.66458892822266,15.470000267028809,21727.657,1.58,259.25,3.5
2020-02-10,78.03343200683594,15.039999961853027,21727.657,1.58,259.25,3.5
2020-02-11,77.56263732910156,15.180000305175781,21727.657,1.58,259.25,3.5
2020-02-12,79.40458679199219,13.739999771118164,21727.657,1.58,259.25,3.5
2020-02-13,78.8391342163086,14.149999618530273,21727.657,1.58,259.25,3.5
2020-02-14,78.85855865478516,13.680000305175781,21727.657,1.58,259.25,3.5
2020-02-18,77.41459655761719,14.829999923706055,21727.657,1.58,259.25,3.5
2020-02-19,78.5357894897461,14.380000114440918,21727.657,1.58,259.25,3.5
2020-02-20,77.73009490966797,15.5600004196167,21727.657,1.58,259.25,3.5
2020-02-21,75.97067260742188,17.079999923706055,21727.657,1.58,259.25,3.5
2020-02-24,72.3620376586914,25.030000686645508,21727.657,1.58,259.25,3.5
2020-02-25,69.91097259521484,27.850000381469727,21727.657,1.58,259.25,3.5
2020-02-26,71.02001190185547,27.559999465942383,21727.657,1.58,259.25,3.5
2020-02-27,66.37754821777344,39.15999984741211,21727.657,1.58,259.25,3.5
2020-02-28,66.33873748779297,40.11000061035156,21727.657,1.58,259.25,3.5
2020-03-01,66.33873748779297,40.11000061035156,21727.657,0.65,258.076,4.4
2020-03-02,72.51490783691406,33.41999816894531,21727.657,0.65,258.076,4.4
2020-03-03,70.21189880371094,36.81999969482422,21727.657,0.65,258.076,4.4
2020-03-04,73.46864318847656,31.989999771118164,21727.657,0.65,258.076,4.4
2020-03-05,71.08553314208984,39.619998931884766,21727.657,0.65,258.076,4.4
2020-03-06,70.14151763916016,41.939998626708984,21727.657,0.65,258.076,4.4
2020-03-09,64.59387969970703,54.459999084472656,21727.657,0.65,258.076,4.4
2020-03-10,69.24603271484375,47.29999923706055,21727.657,0.65,258.076,4.4
2020-03-11,66.84107971191406,53.900001525878906,21727.657,0.65,258.076,4.4
2020-03-12,60.24021911621094,75.47000122070312,21727.657,0.65,258.076,4.4
2020-03-13,67.45748901367188,57.83000183105469,21727.657,0.65,258.076,4.4
2020-03-16,58.77928924560547,82.69000244140625,21727.657,0.65,258.076,4.4
2020-03-17,61.36382293701172,75.91000366210938,21727.657,0.65,258.076,4.4
2020-03-18,59.86162567138672,76.44999694824219,21727.657,0.65,258.076,4.4
2020-03-19,59.4029655456543,72.0,21727.657,0.65,258.076,4.4
2020-03-20,55.631736755371094,66.04000091552734,21727.657,0.65,258.076,4.4
2020-03-23,54.44989013671875,61.59000015258789,21727.657,0.65,258.076,4.4
2020-03-24,59.912593841552734,61.66999816894531,21727.657,0.65,258.076,4.4
2020-03-25,59.58255386352539,63.95000076293945,21727.657,0.65,258.076,4.4
2020-03-26,62.71796798706055,61.0,21727.657,0.65,258.076,4.4
2020-03-27,60.12129592895508,65.54000091552734,21727.657,0.65,258.076,4.4
2020-03-30,61.8370361328125,57.08000183105469,21727.657,0.65,258.076,4.4
2020-03-31,61.710845947265625,53.540000915527344,21727.657,0.65,258.076,4.4
2020-04-01,58.463802337646484,57.060001373291016,19935.444,0.05,256.032,14.8
2020-04-02,59.43937301635742,50.90999984741211,19935.444,0.05,256.032,14.8
2020-04-03,58.585140228271484,46.79999923706055,19935.444,0.05,256.032,14.8
2020-04-06,63.69598388671875,45.2400016784668,19935.444,0.05,256.032,14.8
2020-04-07,62.95821762084961,46.70000076293945,19935.444,0.05,256.032,14.8
2020-04-08,64.5696029663086,43.349998474121094,19935.444,0.05,256.032,14.8
2020-04-09,65.03556823730469,41.66999816894531,19935.444,0.05,256.032,14.8
2020-04-13,66.3120346069336,41.16999816894531,19935.444,0.05,256.032,14.8
2020-04-14,69.66101837158203,37.7599983215332,19935.444,0.05,256.032,14.8
2020-04-15,69.02518463134766,40.84000015258789,19935.444,0.05,256.032,14.8
2020-04-16,69.57365417480469,40.11000061035156,19935.444,0.05,256.032,14.8
2020-04-17,68.629638671875,38.150001525878906,19935.444,0.05,256.032,14.8
2020-04-20,67.20510864257812,43.83000183105469,19935.444,0.05,256.032,14.8
2020-04-21,65.12776947021484,45.40999984741211,19935.444,0.05,256.032,14.8
2020-04-22,67.0036849975586,41.97999954223633,19935.444,0.05,256.032,14.8
2020-04-23,66.7440185546875,41.380001068115234,19935.444,0.05,256.032,14.8
2020-04-24,68.6708755493164,35.93000030517578,19935.444,0.05,256.032,14.8
