,AAPL_Close,VIX,GDP,FedRate,CPI,Unemployment
2020-01-02,72.71607208251953,12.470000267028809,21727.657,1.55,259.127,3.6
2020-01-03,72.00911712646484,14.020000457763672,21727.657,1.55,259.127,3.6
2020-01-04,72.00911712646484,14.020000457763672,21727.657,1.55,259.127,3.6
2020-01-05,72.00911712646484,14.020000457763672,21727.657,1.55,259.127,3.6
2020-01-06,72.5829086303711,13.850000381469727,21727.657,1.55,259.127,3.6
2020-01-07,72.24156951904297,13.789999961853027,21727.657,1.55,259.127,3.6
2020-01-08,73.40364837646484,13.449999809265137,21727.657,1.55,259.127,3.6
2020-01-09,74.9627914428711,12.539999961853027,21727.657,1.55,259.127,3.6
2020-01-10,75.13227081298828,12.5600004196167,21727.657,1.55,259.127,3.6
2020-01-11,75.13227081298828,12.5600004196167,21727.657,1.55,259.127,3.6
2020-01-12,75.13227081298828,12.5600004196167,21727.657,1.55,259.127,3.6
2020-01-13,76.73741912841797,12.319999694824219,21727.657,1.55,259.127,3.6
2020-01-14,75.70122528076172,12.390000343322754,21727.657,1.55,259.127,3.6
2020-01-15,75.37680053710938,12.420000076293945,21727.657,1.55,259.127,3.6
2020-01-16,76.32100677490234,12.319999694824219,21727.657,1.55,259.127,3.6
2020-01-17,77.16594696044922,12.100000381469727,21727.657,1.55,259.127,3.6
2020-01-18,77.16594696044922,12.100000381469727,21727.657,1.55,259.127,3.6
2020-01-19,77.16594696044922,12.100000381469727,21727.657,1.55,259.127,3.6
2020-01-20,77.16594696044922,12.100000381469727,21727.657,1.55,259.127,3.6
2020-01-21,76.64301300048828,12.850000381469727,21727.657,1.55,259.127,3.6
2020-01-22,76.91658020019531,12.90999984741211,21727.657,1.55,259.127,3.6
2020-01-23,77.28702545166016,12.979999542236328,21727.657,1.55,259.127,3.6
2020-01-24,77.06428527832031,14.5600004196167,21727.657,1.55,259.127,3.6
2020-01-25,77.06428527832031,14.5600004196167,21727.657,1.55,259.127,3.6
2020-01-26,77.06428527832031,14.5600004196167,21727.657,1.55,259.127,3.6
2020-01-27,74.79816436767578,18.229999542236328,21727.657,1.55,259.127,3.6
2020-01-28,76.91416931152344,16.280000686645508,21727.657,1.55,259.127,3.6
2020-01-29,78.5241470336914,16.389999389648438,21727.657,1.55,259.127,3.6
2020-01-30,78.41035461425781,15.489999771118164,21727.657,1.55,259.127,3.6
2020-01-31,74.9337387084961,18.84000015258789,21727.657,1.55,259.127,3.6
2020-02-01,74.9337387084961,18.84000015258789,21727.657,1.58,259.25,3.5
2020-02-02,74.9337387084961,18.84000015258789,21727.657,1.58,259.25,3.5
2020-02-03,74.72795104980469,17.969999313354492,21727.657,1.58,259.25,3.5
2020-02-04,77.19499206542969,16.049999237060547,21727.657,1.58,259.25,3.5
2020-02-05,77.82447052001953,15.149999618530273,21727.657,1.58,259.25,3.5
2020-02-06,78.73477935791016,14.960000038146973,21727.657,1.58,259.25,3.5
2020-02-07,77.66456604003906,15.470000267028809,21727.657,1.58,259.25,3.5
2020-02-08,77.66456604003906,15.470000267028809,21727.657,1.58,259.25,3.5
2020-02-09,77.66456604003906,15.470000267028809,21727.657,1.58,259.25,3.5
2020-02-10,78.03343200683594,15.039999961853027,21727.657,1.58,259.25,3.5
2020-02-11,77.56263732910156,15.180000305175781,21727.657,1.58,259.25,3.5
2020-02-12,79.40458679199219,13.739999771118164,21727.657,1.58,259.25,3.5
2020-02-13,78.83914184570312,14.149999618530273,21727.657,1.58,259.25,3.5
2020-02-14,78.85855102539062,13.680000305175781,21727.657,1.58,259.25,3.5
2020-02-15,78.85855102539062,13.680000305175781,21727.657,1.58,259.25,3.5
2020-02-16,78.85855102539062,13.680000305175781,21727.657,1.58,259.25,3.5
2020-02-17,78.85855102539062,13.680000305175781,21727.657,1.58,259.25,3.5
2020-02-18,77.41460418701172,14.829999923706055,21727.657,1.58,259.25,3.5
2020-02-19,78.53578186035156,14.380000114440918,21727.657,1.58,259.25,3.5
2020-02-20,77.7300796508789,15.5600004196167,21727.657,1.58,259.25,3.5
2020-02-21,75.97064971923828,17.079999923706055,21727.657,1.58,259.25,3.5
2020-02-22,75.97064971923828,17.079999923706055,21727.657,1.58,259.25,3.5
2020-02-23,75.97064971923828,17.079999923706055,21727.657,1.58,259.25,3.5
2020-02-24,72.36202239990234,25.030000686645508,21727.657,1.58,259.25,3.5
2020-02-25,69.91098022460938,27.850000381469727,21727.657,1.58,259.25,3.5
2020-02-26,71.02001190185547,27.559999465942383,21727.657,1.58,259.25,3.5
2020-02-27,66.3775634765625,39.15999984741211,21727.657,1.58,259.25,3.5
2020-02-28,66.33873748779297,40.11000061035156,21727.657,1.58,259.25,3.5
2020-02-29,66.33873748779297,40.11000061035156,21727.657,1.58,259.25,3.5
2020-03-01,66.33873748779297,40.11000061035156,21727.657,0.65,258.076,4.4
2020-03-02,72.5149154663086,33.41999816894531,21727.657,0.65,258.076,4.4
2020-03-03,70.21190643310547,36.81999969482422,21727.657,0.65,258.076,4.4
2020-03-04,73.4686508178711,31.989999771118164,21727.657,0.65,258.076,4.4
2020-03-05,71.08555603027344,39.619998931884766,21727.657,0.65,258.076,4.4
2020-03-06,70.14151000976562,41.939998626708984,21727.657,0.65,258.076,4.4
2020-03-07,70.14151000976562,41.939998626708984,21727.657,0.65,258.076,4.4
2020-03-08,70.14151000976562,41.939998626708984,21727.657,0.65,258.076,4.4
2020-03-09,64.59387969970703,54.459999084472656,21727.657,0.65,258.076,4.4
2020-03-10,69.24602508544922,47.29999923706055,21727.657,0.65,258.076,4.4
2020-03-11,66.84109497070312,53.900001525878906,21727.657,0.65,258.076,4.4
2020-03-12,60.24021911621094,75.47000122070312,21727.657,0.65,258.076,4.4
2020-03-13,67.4574966430664,57.83000183105469,21727.657,0.65,258.076,4.4
2020-03-14,67.4574966430664,57.83000183105469,21727.657,0.65,258.076,4.4
2020-03-15,67.4574966430664,57.83000183105469,21727.657,0.65,258.076,4.4
2020-03-16,58.77928924560547,82.69000244140625,21727.657,0.65,258.076,4.4
2020-03-17,61.36382293701172,75.91000366210938,21727.657,0.65,258.076,4.4
2020-03-18,59.86163330078125,76.44999694824219,21727.657,0.65,258.076,4.4
2020-03-19,59.40296936035156,72.0,21727.657,0.65,258.076,4.4
2020-03-20,55.63174819946289,66.04000091552734,21727.657,0.65,258.076,4.4
2020-03-21,55.63174819946289,66.04000091552734,21727.657,0.65,258.076,4.4
2020-03-22,55.63174819946289,66.04000091552734,21727.657,0.65,258.076,4.4
